Titulo,Autor,Editorial,Precio,ISBN,Categoria,Existencias
Un ruido de fondo que se apaga,Sebastián Gaviria,Libros del fuego,58000,,Narrativa,12
Esta herida llena de peces,Lorena Salazar Masso,Angosta,52000,,Narrativa,9
Cómo maté a mi padre,Sara Jaramillo Klinkert,Angosta,49000,,Narrativa,7
Los espantos de mamá,Gilmer Mesa,Penguin Libros,64000,,Terror,5
La primavera de los gallos,Laya Restrepo Guzmán,La diligencia,55000,,Narrativa,6
Archipiélago,Mariana Enríquez,Ampersand,72000,,Narrativa,4
La memoria es un animal esquivo,María del Mar Ramón,Difusora Larousse,61000,,Narrativa,3
La segunda venida de Hilda Bustamante,Salomé Esper,Sigilo Editorial,68000,,Narrativa,8
Malas posturas,Lina María Parra Ochoa,Universidad EAFIT,45000,,Narrativa,10
Estaba en llamas cuando me acosté,Juan Mosquera,Sílaba Editores,48000,,Narrativa,6
El ciclo del agua,Carlos Andrés Salazar,Angosta,50000,,Narrativa,5
Niñapajaroglaciar,Mariana Matija,Rey Naranjo,59000,,Narrativa,4
Psicodelia,Miguel Botero Yarumo,La diligencia,53000,,Narrativa,3
Marejada feliz,Carlos Ávila,Libros del fuego,56000,,Narrativa,4
Noche negra,Pilar Quintana,Penguin Libros,63000,,Narrativa,7
Escalpelo,Daniela Pérez,Sílaba Editores,47000,,Narrativa,5
El cielo de la selva,Elaine Vilar Madruga,Saga,66000,,Terror,3
Cuántas veces nunca más,Valentina Upegui,Angosta,51000,,Narrativa,4
Todo duele cuando el amor duele,César Alzate,Arbitraria,44000,,Narrativa,6
Teoría de conjuntos,Danielle Navarro,Libros del fuego,57000,,Narrativa,3
Guía la lenta hiedra,María Lucas Vargas,Arbitraria,43000,,Poesía,5
Cometierra,Dolores Reyes,Rey Naranjo,58000,,Narrativa,4
Visceral,María Fernanda Ampuero,Plaza y Janés,69000,,Narrativa,2
Mirar las aves,Paulo Pulgarín,Mesaestándar,75000,,Arte,3
